HOSP_DISTRICT,HOSP_NAME,CATEGORY_NAME,no_of_patient,total_claim_amount,start_data,end_date
Srikakulam,"Rims Govt. General Hospital, Srikakulam",NEPHROLOGY,3,33000,2013-09-01,2013-09-30
Kurnool,Govt General Hospital Kurnool,NEPHROLOGY,1,11000,2013-10-01,2013-10-31
Srikakulam,"Rims Govt. General Hospital, Srikakulam",NEPHROLOGY,3,33500,2013-10-01,2013-10-31
Guntur,Karumuri Hospital,CARDIAC AND CARDIOTHORACIC SURGERY,2,155846,2014-06-01,2014-06-30
Guntur,Karumuri Hospital,CARDIOLOGY,5,165000,2014-07-01,2014-07-31
Guntur,Karumuri Hospital,CARDIAC AND CARDIOTHORACIC SURGERY,3,329692,2014-08-01,2014-08-31
Guntur,Karumuri Hospital,CARDIOLOGY,3,75000,2014-08-01,2014-08-31
Srikakulam,KIMS SAI SESHDRI HOSPITAL,CARDIOLOGY,7,175000,2014-08-01,2014-08-31
Srikakulam,KIMS SAI SESHDRI HOSPITAL,ORTHOPEDIC  SURGERY AND PROCEDURES,1,5000,2014-08-01,2014-08-31
Guntur,Karumuri Hospital,CARDIAC AND CARDIOTHORACIC SURGERY,7,495538,2014-09-01,2014-09-30
Guntur,Karumuri Hospital,CARDIOLOGY,6,207000,2014-09-01,2014-09-30
Guntur,Karumuri Hospital,CARDIAC AND CARDIOTHORACIC SURGERY,5,449858,2014-10-01,2014-10-31
Guntur,Karumuri Hospital,CARDIAC AND CARDIOTHORACIC SURGERY,6,642438,2014-11-01,2014-11-30
Guntur,Karumuri Hospital,CARDIOLOGY,5,155000,2014-11-01,2014-11-30
Ranga Reddy,OZONE HOSPITALS,CARDIOLOGY,1,25000,2014-11-01,2014-11-30
Guntur,Karumuri Hospital,CARDIAC AND CARDIOTHORACIC SURGERY,6,544868,2014-12-01,2014-12-31
Guntur,Karumuri Hospital,CARDIOLOGY,1,30000,2014-12-01,2014-12-31
Prakasam,Area Hospital - Cheerala,PEDIATRICS,1,25000,2014-12-01,2014-12-31
Vishakhapatnam,Queens Nri Hospitals,NEPHROLOGY,1,2500,2014-12-01,2014-12-31
East Godavari,7 STAR SUPER SPECIALITY HOSPITAL,ORTHOPEDIC  SURGERY AND PROCEDURES,2,68228,2015-01-01,2015-01-31
Guntur,Karumuri Hospital,CARDIOLOGY,1,30000,2015-01-01,2015-01-31
Prakasam,Area Hospital - Cheerala,GYNAECOLOGY AND OBSTETRICS  SURGERY,1,27300,2015-01-01,2015-01-31
Guntur,Karumuri Hospital,CARDIAC AND CARDIOTHORACIC SURGERY,2,179956,2015-02-01,2015-02-28
Guntur,Karumuri Hospital,CARDIAC AND CARDIOTHORACIC SURGERY,3,362892,2015-03-01,2015-03-31
Guntur,SAILAJA MULTISPECIALITY HOSPITAL,ORTHOPEDIC  SURGERY AND PROCEDURES,1,30000,2015-03-01,2015-03-31
Prakasam,Area Hospital - Cheerala,GYNAECOLOGY AND OBSTETRICS  SURGERY,1,24000,2015-03-01,2015-03-31
Vishakhapatnam,MyCure HospitalsA Unit of Sahrudaya Helath Care Private Limited,NEPHROLOGY,1,30870,2015-03-01,2015-03-31
Vishakhapatnam,Queens Nri Hospitals,NEPHROLOGY,1,1250,2015-04-01,2015-04-30
East Godavari,"Government General Hospital,Kakinada",RADIATION ONCOLOGY,1,10000,2015-05-01,2015-05-31
Guntur,Karumuri Hospital,CARDIAC AND CARDIOTHORACIC SURGERY,1,115846,2015-05-01,2015-05-31
Vishakhapatnam,Queens Nri Hospitals,NEPHROLOGY,2,15000,2015-05-01,2015-05-31
Chittoor,Area Hospital - Madanapalli,NEUROLOGY,1,8200,2015-06-01,2015-06-30
Hyderabad,Govt Ent Hospital  - Koti,COCHLEAR IMPLANT SURGERY,2,1030000,2015-06-01,2015-06-30
Prakasam,Area Hospital - Cheerala,GYNAECOLOGY AND OBSTETRICS  SURGERY,2,55500,2015-06-01,2015-06-30
Vishakhapatnam,King George Hospital,NEUROLOGY,1,10100,2015-06-01,2015-06-30
Vishakhapatnam,Queens Nri Hospitals,NEPHROLOGY,1,3750,2015-06-01,2015-06-30
YSR Kadapa,Rims General Hospital,NEPHROLOGY,1,14310,2015-06-01,2015-06-30
YSR Kadapa,Rims General Hospital,PEDIATRICS,1,15000,2015-06-01,2015-06-30
Chittoor,S.V.R.R.Hospital,GASTROENTEROLOGY,4,72380,2015-07-01,2015-07-31
Chittoor,S.V.R.R.Hospital,NEUROLOGY,1,11030,2015-07-01,2015-07-31
Chittoor,S.V.R.R.Hospital,RHEUMATOLOGY,1,20651,2015-07-01,2015-07-31
East Godavari,SURYA GLOBAL MULTI SPECIALITY HOSPITALS AND CANCER RESEARCH CENTRE,NEPHROLOGY,1,5000,2015-07-01,2015-07-31
Hyderabad,Nims Hospitals,PULMONOLOGY,1,22300,2015-07-01,2015-07-31
Kurnool,Govt General Hospital Kurnool,NEUROSURGERY,1,50000,2015-07-01,2015-07-31
Prakasam,Area Hospital - Cheerala,GENERAL SURGERY,1,23200,2015-07-01,2015-07-31
Vishakhapatnam,Queens Nri Hospitals,NEPHROLOGY,1,12500,2015-07-01,2015-07-31
